the_geom,dem,sec,ln,pan,pri,prd,pvem,pt,mc,na,morena,pes,ph,pt_mor_pes,pt_morena,pt_pes,mor_pes,pan_prd_mc,pan_prd,pan_mc,prd_mc,cnr,nulos,totales,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_p,pvem_p,pt_p,mc_p,na_p,morena_p,pes_p,ph_p,pt_mor_pes_p,pt_morena_p,pt_pes_p,mor_pes_P,pan_prd_mc_p,pan_prd_p,pan_mc_p,prd_mc_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_prd_mc,coal_morena_pt_pes,coal_pri,coal_pvem,coal_otros_,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
0106000020E61000000100000001030000000100000013000000FBA92451A8CA58C0A0F6E181C26333407190C9DAB1CA58C0F4D2419C296333405379E7AEA5CA58C01866099A1E63334081D943EAA4CA58C033B42EE81D6333402C95F6BF99CA58C0BD13F6CE13633340A49CF4788DCA58C0EE0770E207633340B8FE325881CA58C05D7CF5BBFD623340E999F84B79CA58C018B14149F6623340508A383975CA58C06B2E531F34633340508C813F6DCA58C0452A99532C6333407389B53D65CA58C0BD99D47724633340F99938F761CA58C081BEE1105A6333408A0C3CD66CCA58C071F430F78C633340B4B49F2873CA58C0267F0DAF926333406DF25E4678CA58C06B0CBB4F976333408E17834A84CA58C053619B1BA2633340F8CBA84E90CA58C040F36EE7AC633340510052629BCA58C0A78BEADEB6633340FBA92451A8CA58C0A0F6E181C2633340,BENITO JUAREZ,4348,1529,584,98,26,23,7,14,10,267,6,20,4,0,0,1,8,1,2,0,0,20,1091,584,267,98,317,0.29055912,169,0.154903758,0.71353826,53.53%,8.98%,2.38%,2.11%,0.64%,1.28%,0.92%,24.47%,0.55%,1.83%,0.37%,0.00%,0.00%,0.09%,0.73%,0.09%,0.18%,0.00%,0.00%,1.83%,100.00%,53.53%,24.47%,8.98%,PAN,MORENA,PRI,58.20%,25.57%,8.98%,2.11%,5.13%,100.00%,58.20%,25.57%,8.98%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000A00000086F5109FD3CA58C063AC23ECE6633340B2D81D66DDCA58C051C0E5C04E63334051FBD9F8CACA58C01EFC1B893F633340D3B4B694B7CA58C01CD8399D2E6333407190C9DAB1CA58C0F4D2419C29633340FBA92451A8CA58C0A0F6E181C2633340D9F35089ABCA58C0603EF636C56333404DF5FB9AC1CA58C007EAE1C5D7633340AD2BBEFAC9CA58C0A77F90D0DE63334086F5109FD3CA58C063AC23ECE6633340,BENITO JUAREZ,4349,1123,432,106,18,31,7,9,11,180,6,10,1,0,0,1,8,1,2,0,1,9,833,432,180,106,252,0.302521008,74,0.088835534,0.741763134,51.86%,12.73%,2.16%,3.72%,0.84%,1.08%,1.32%,21.61%,0.72%,1.20%,0.12%,0.00%,0.00%,0.12%,0.96%,0.12%,0.24%,0.00%,0.12%,1.08%,100.00%,51.86%,21.61%,12.73%,PAN,MORENA,PRI,56.42%,22.69%,12.73%,3.72%,4.44%,100.00%,56.42%,22.69%,12.73%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000013000000461AA17615CB58C0765B7FEF22643340B7502AEA18CB58C03C3358B7FD63334028B46CCB1ACB58C0DA57077FE8633340A3B70FAF1BCB58C02988E269DF6333405AE4DB121ECB58C0BF87A470C0633340558073DD1FCB58C03E1A7937A9633340F31451D721CB58C021854FCE8E63334097FA916311CB58C069A542D77D63334080457E2100CB58C00EFEF8516D6333402B77AA74FDCA58C06A2401F46A63334042E10F3DF3CA58C0523C91E9616333402C3C9651E8CA58C033C3405558633340B2D81D66DDCA58C051C0E5C04E63334086F5109FD3CA58C063AC23ECE66333404CDC6D81DECA58C06F421B13F06333406323C6BDE9CA58C04EA11F79FA633340C49F8D7DF6CA58C0BB27AD45066433409CD42E5405CB58C040D7180114643340461AA17615CB58C0765B7FEF22643340,BENITO JUAREZ,4350,1341,511,132,26,25,13,16,5,197,10,13,9,4,0,1,7,0,1,0,0,18,988,511,197,132,314,0.317813765,65,0.065789474,0.736763609,51.72%,13.36%,2.63%,2.53%,1.32%,1.62%,0.51%,19.94%,1.01%,1.32%,0.91%,0.40%,0.00%,0.10%,0.71%,0.00%,0.10%,0.00%,0.00%,1.82%,100.00%,51.72%,19.94%,13.36%,PAN,MORENA,PRI,56.78%,22.67%,13.36%,2.53%,4.66%,100.00%,56.78%,22.67%,13.36%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000018000000F31451D721CB58C021854FCE8E633340303878F024CB58C0C5E8729D6E633340DE4139F725CB58C0F5E22184616333405BE43BB030CB58C05BD149ABD8623340512CA38632CB58C0AF7C731FC3623340F11975DF35CB58C0C29B42E09B6233409EC53C5F3ACB58C0EB7966EC626233406E99D2593FCB58C0E883F786296233404F68306C40CB58C00FF64D70176233407BE732113ECB58C047D0F3EF22623340387C4C5539CB58C0BBBEA32B35623340988027182ACB58C03355236E0562334075F4206E21CB58C001BD6C49EA6133403F30ADFF18CB58C024FB65C8CF61334075FBBD840ECB58C08D69C9A450623340BA5290A103CB58C0F348BD41546233407AD00E9EFFCA58C0583B6683976233409CCA7DC7FBCA58C01D7EDF17D76233404C45DE22F8CA58C00C549E4E1263334042E10F3DF3CA58C0523C91E9616333402B77AA74FDCA58C06A2401F46A63334080457E2100CB58C00EFEF8516D63334097FA916311CB58C069A542D77D633340F31451D721CB58C021854FCE8E633340,BENITO JUAREZ,4351,947,353,90,11,8,5,6,6,149,6,9,1,3,0,1,4,0,1,0,2,20,675,353,149,90,204,0.302222222,59,0.087407407,0.712777191,52.30%,13.33%,1.63%,1.19%,0.74%,0.89%,0.89%,22.07%,0.89%,1.33%,0.15%,0.44%,0.00%,0.15%,0.59%,0.00%,0.15%,0.00%,0.30%,2.96%,100.00%,52.30%,22.07%,13.33%,PAN,MORENA,PRI,55.56%,23.56%,13.33%,1.19%,6.37%,100.00%,55.56%,23.56%,13.33%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000001900000042E10F3DF3CA58C0523C91E9616333404C45DE22F8CA58C00C549E4E126333409CCA7DC7FBCA58C01D7EDF17D7623340E3745341F1CA58C077202551C5623340DB86615FE6CA58C0039C98CBB9623340A4465CD8DDCA58C0BFF5800AB26233408136E5E1D7CA58C0C06DD5B5AC6233404E1BFA23D7CA58C00CD4E356AF623340D907D466D6CA58C07E54CC58B162334020A537C0D5CA58C010A5BA6BB3623340D9A47DECD4CA58C0052DA7C2B462334009C4ABFDD3CA58C0BC61654CB5623340AF6FCC29D3CA58C095BBCB6EB46233408BFDE045D2CA58C0974FE6DEB2623340DB2D27D0D1CA58C0F8B7142CB062334081610D5ED1CA58C0BE1611E4AB6233407994B761D1CA58C0D44C99BDA6623340E44F8A30BBCA58C04B121CF392623340380E6039B6CA58C0BC701217E36233407190C9DAB1CA58C0F4D2419C29633340D3B4B694B7CA58C01CD8399D2E63334051FBD9F8CACA58C01EFC1B893F633340B2D81D66DDCA58C051C0E5C04E6333402C3C9651E8CA58C033C340555863334042E10F3DF3CA58C0523C91E961633340,BENITO JUAREZ,4352,1525,579,137,21,33,11,18,8,219,10,13,5,2,1,0,13,2,3,0,1,27,1103,579,219,137,360,0.326382593,82,0.074342702,0.723278689,52.49%,12.42%,1.90%,2.99%,1.00%,1.63%,0.73%,19.85%,0.91%,1.18%,0.45%,0.18%,0.09%,0.00%,1.18%,0.18%,0.27%,0.00%,0.09%,2.45%,100.00%,52.49%,19.85%,12.42%,PAN,MORENA,PRI,57.66%,21.49%,12.42%,2.99%,5.35%,99.91%,57.66%,21.49%,12.42%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000D0000007190C9DAB1CA58C0F4D2419C29633340380E6039B6CA58C0BC701217E3623340E44F8A30BBCA58C04B121CF392623340C293F0DAAECA58C0392B4D91876233407B9E5CCAA2CA58C0FD2A60247C6233409F84DA8696CA58C099B4F71071623340EF6D4DF38ACA58C059191C7066623340B8FE325881CA58C05D7CF5BBFD623340A49CF4788DCA58C0EE0770E2076333402C95F6BF99CA58C0BD13F6CE1363334081D943EAA4CA58C033B42EE81D6333405379E7AEA5CA58C01866099A1E6333407190C9DAB1CA58C0F4D2419C29633340,BENITO JUAREZ,4353,1210,465,125,16,34,10,16,7,167,5,14,3,1,0,3,6,3,2,0,1,16,894,465,167,125,298,0.333333333,42,0.046979866,0.738842975,52.01%,13.98%,1.79%,3.80%,1.12%,1.79%,0.78%,18.68%,0.56%,1.57%,0.34%,0.11%,0.00%,0.34%,0.67%,0.34%,0.22%,0.00%,0.11%,1.79%,100.00%,52.01%,18.68%,13.98%,PAN,MORENA,PRI,56.82%,20.58%,13.98%,3.80%,4.81%,100.00%,56.82%,20.58%,13.98%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000001F0000008A0C3CD66CCA58C071F430F78C633340F99938F761CA58C081BEE1105A6333407389B53D65CA58C0BD99D47724633340508C813F6DCA58C0452A99532C633340508A383975CA58C06B2E531F34633340E999F84B79CA58C018B14149F6623340B8FE325881CA58C05D7CF5BBFD623340EF6D4DF38ACA58C059191C7066623340EA43662C7FCA58C0CBFFA0125C623340900EA2DE72CA58C01557E241516233400F946E9F66CA58C0F5ACE27D46623340782934DE5ACA58C007C791283C623340327120804FCA58C02BC05C2A32623340CF959FAC4ECA58C0FD5A6E70316233408C4498C24DCA58C0C09FB2A230623340BB6AFC3846CA58C00E5E60022A6233403D83363F43CA58C016D738CB26623340DCA38CBC49CA58C07F39B7A378623340BBC5565F4ACA58C0E42007F785623340650670A24CCA58C01520BB72AB6233400CAC3DE24FCA58C09670472DD5623340804B134A51CA58C0DED3C84CEE6233402F69F42755CA58C06A78AA1F2363334066E7422758CA58C07AC651C6376333400B0C2B855ACA58C07C818F64466333401CDC30C65CCA58C0B2489D3052633340A25AB2965ECA58C048F5C48B5B6333407AE69D6F60CA58C0A5157B1962633340B6CF9EA161CA58C0D4E1AB7D6663334023DE84C269CA58C008E3AE2E8A6333408A0C3CD66CCA58C071F430F78C633340,BENITO JUAREZ,4354,1469,563,136,20,22,13,19,6,228,15,27,5,0,0,0,7,2,1,0,1,18,1083,563,228,136,335,0.309325946,92,0.084949215,0.737236215,51.99%,12.56%,1.85%,2.03%,1.20%,1.75%,0.55%,21.05%,1.39%,2.49%,0.46%,0.00%,0.00%,0.00%,0.65%,0.18%,0.09%,0.00%,0.09%,1.66%,100.00%,51.99%,21.05%,12.56%,PAN,MORENA,PRI,56.51%,22.71%,12.56%,2.03%,6.19%,100.00%,56.51%,22.71%,12.56%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000014000000F3DB25D3F4C958C05BD3D64C85623340F40DA79DF7C958C0CB95E4137262334022243537FCC958C08586F84EE96133400D460592F0C958C0DD9BD2A1E06133401A6FAB75E6C958C053785119D96133400B9EE0DFDDC958C07C22C7B3D261334042D078AAD2C958C055B6C959CA61334017D69D45C9C958C0DAB2E059C3613340E8C8C7BAC6C958C05A01F274C161334004BD7749BEC958C0CA37A40ABB613340865AE8C0BBC958C0571882D2EE613340F639A2D8B8C958C0DE897D312362334048A0367BB5C958C0A570527A6E6233409951EBDABEC958C0EE7197AE716233402430C9FCC0C958C03656835F72623340847ED37BCBC958C0DDA0905E7662334072B9E0E8D5C958C0298BBF257A62334030DA55D4DFC958C017F60AA07D6233401D0674C7EAC958C0860C358B81623340F3DB25D3F4C958C05BD3D64C85623340,BENITO JUAREZ,4355,1360,524,106,19,27,11,14,3,246,10,19,6,2,0,0,7,3,1,0,1,17,1016,524,246,106,278,0.273622047,140,0.137795276,0.747058824,51.57%,10.43%,1.87%,2.66%,1.08%,1.38%,0.30%,24.21%,0.98%,1.87%,0.59%,0.20%,0.00%,0.00%,0.69%,0.30%,0.10%,0.00%,0.10%,1.67%,100.00%,51.57%,24.21%,10.43%,PAN,MORENA,PRI,55.91%,26.08%,10.43%,2.66%,4.92%,100.00%,55.91%,26.08%,10.43%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000F00000048A0367BB5C958C0A570527A6E623340F639A2D8B8C958C0DE897D3123623340865AE8C0BBC958C0571882D2EE61334004BD7749BEC958C0CA37A40ABB6133404A770E23B7C958C0B9344AB2B56133406F166740AAC958C08E423ED6AB6133401D76311195C958C09F83B8A09B61334080A59F3D92C958C00CC53511D0613340F297497B8FC958C03F37D641036233406399139E8DC958C03EC970D725623340E6BF12968AC958C0CB295C145E623340D4297E9098C958C03CD803AB636233405567D815A3C958C0B631C6DF6762334057FE3295ACC958C065D1C1AB6B62334048A0367BB5C958C0A570527A6E623340,BENITO JUAREZ,4356,1520,471,123,17,35,18,17,18,370,17,26,11,2,1,1,13,3,1,0,3,17,1164,471,370,123,101,0.086769759,247,0.212199313,0.765789474,40.46%,10.57%,1.46%,3.01%,1.55%,1.46%,1.55%,31.79%,1.46%,2.23%,0.95%,0.17%,0.09%,0.09%,1.12%,0.26%,0.09%,0.00%,0.26%,1.46%,100.00%,40.46%,31.79%,10.57%,PAN,MORENA,PRI,44.85%,34.54%,10.57%,3.01%,6.96%,99.91%,44.85%,34.54%,10.57%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000013000000E6BF12968AC958C0CB295C145E6233406399139E8DC958C03EC970D725623340F297497B8FC958C03F37D6410362334080A59F3D92C958C00CC53511D06133401D76311195C958C09F83B8A09B613340518592E87FC958C0FF39968C8B6133408242424576C958C0E36AA12F846133402FA0DFF86AC958C0E0C46BDE7A613340D76F04955FC958C068A335A67261334077CFE5D155C958C03ABBFDC16A613340989CE27053C958C079BBA8BE9F6133409855B1F655C958C036A95163A361334075C08C165DC958C01FBD216AA7613340FDCF60D45AC958C083A5D761D7613340A2125BE557C958C0CA1F6FB6176233408DC4415256C958C0773DF7B33D6233400F262A5B64C958C0E086BC57466233401A9FD52C70C958C06D86439E4D623340E6BF12968AC958C0CB295C145E623340,BENITO JUAREZ,4357,1912,675,129,36,31,13,17,12,422,13,32,15,1,0,2,11,1,2,0,2,32,1446,675,422,129,253,0.174965422,293,0.202627939,0.756276151,46.68%,8.92%,2.49%,2.14%,0.90%,1.18%,0.83%,29.18%,0.90%,2.21%,1.04%,0.07%,0.00%,0.14%,0.76%,0.07%,0.14%,0.00%,0.14%,2.21%,100.00%,46.68%,29.18%,8.92%,PAN,MORENA,PRI,51.31%,31.33%,8.92%,2.14%,6.29%,100.00%,51.31%,31.33%,8.92%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E610000001000000010300000001000000180000008DC4415256C958C0773DF7B33D623340A2125BE557C958C0CA1F6FB617623340FDCF60D45AC958C083A5D761D761334075C08C165DC958C01FBD216AA76133409855B1F655C958C036A95163A3613340989CE27053C958C079BBA8BE9F61334077CFE5D155C958C03ABBFDC16A61334094C6F7D549C958C0FDBACC2E62613340C8B9393C40C958C07C37A0E45A613340A61BAC8E36C958C0BB412AE7536133406C5F27BE2BC958C0A6B1E7A04B61334019B9143624C958C0F3D4C0E346613340639EE7A621C958C008490567356133404B99C1A71DC958C060736F643361334028F3661A21C958C0E64AF4044A613340F93CD2731DC958C0F18F63ACAC6133405C82387D26C958C0245CD43EB26133406B8A308621C958C0979DC6851C623340828C8A2A2CC958C0E117FFD62362334023D608FE32C958C092389FA728623340C5835D1947C958C0DE5B7E18356233406C6391E249C958C02A3E3F4B366233400E20A82E51C958C0595930A43A6233408DC4415256C958C0773DF7B33D623340,BENITO JUAREZ,4358,1642,449,131,21,37,27,18,13,397,22,31,15,2,1,1,10,3,0,0,0,33,1211,449,397,131,52,0.042939719,266,0.219653179,0.737515225,37.08%,10.82%,1.73%,3.06%,2.23%,1.49%,1.07%,32.78%,1.82%,2.56%,1.24%,0.17%,0.08%,0.08%,0.83%,0.25%,0.00%,0.00%,0.00%,2.73%,100.00%,37.08%,32.78%,10.82%,PAN,MORENA,PRI,41.37%,36.50%,10.82%,3.06%,8.18%,99.92%,41.37%,36.50%,10.82%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E610000001000000010300000001000000140000008037EBE92DC958C0839166A4A362334023D608FE32C958C092389FA728623340828C8A2A2CC958C0E117FFD6236233406B8A308621C958C0979DC6851C6233405C82387D26C958C0245CD43EB2613340F93CD2731DC958C0F18F63ACAC613340F2F64D5019C958C0F9D1F08F166233406553DB6B10C958C02B2CC15F116233400DD5BA980CC958C0AA6B9CF40E6233402B9C7FAA03C958C0938BC04A09623340C91E11E2EFC858C0F0E253BEFC613340A77FDAE2ECC858C07EEB3AFF4A623340F056C550EBC858C03CF3FE0174623340DC2FB816FEC858C0BB70A03881623340D0FAE3A606C958C0585A923F876233408BD2888E0DC958C0D311DC1D8C623340D94BB68D14C958C069BFA1539162334015D7BB881BC958C08F8E4A8696623340D43E0CEA25C958C06671933C9E6233408037EBE92DC958C0839166A4A3623340,BENITO JUAREZ,4359,1875,582,98,30,50,11,25,16,457,17,31,10,3,1,3,11,3,1,0,3,33,1385,582,457,98,125,0.090252708,359,0.259205776,0.738666667,42.02%,7.08%,2.17%,3.61%,0.79%,1.81%,1.16%,33.00%,1.23%,2.24%,0.72%,0.22%,0.07%,0.22%,0.79%,0.22%,0.07%,0.00%,0.22%,2.38%,100.00%,42.02%,33.00%,7.08%,PAN,MORENA,PRI,47.08%,34.95%,7.08%,3.61%,7.22%,99.93%,47.08%,34.95%,7.08%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000001B000000F2F64D5019C958C0F9D1F08F16623340F93CD2731DC958C0F18F63ACAC61334028F3661A21C958C0E64AF4044A6133404B99C1A71DC958C060736F6433613340639EE7A621C958C0084905673561334025D92B0423C958C074D4BF410D613340898D578E2EC958C0ED9327E515613340EAAD32FF30C958C0408C699EE4603340269FFA492EC958C021BDB095E26033407E01246224C958C017949B18DB6033404EFA53B01EC958C0AD59E195D6603340652A1B210FC958C0B65CDE28CB6033404C7E54460AC958C049870931C360334007519C69FCC858C020B46413B9603340494E196FFBC858C03395FD88D1603340DBA5A23BFAC858C0250BC07EEF60334085BF41E4F9C858C0553F6C02F86033407364A65FF8C858C05E65BDF81D613340042752BFF6C858C06886409A48613340B915C802F4C858C0D67ADF6A906133402129A871F3C858C0C6116D4B9F613340CB5BD7BDF1C858C01EED9BF8CB613340C91E11E2EFC858C0F0E253BEFC6133402B9C7FAA03C958C0938BC04A096233400DD5BA980CC958C0AA6B9CF40E6233406553DB6B10C958C02B2CC15F11623340F2F64D5019C958C0F9D1F08F16623340,BENITO JUAREZ,4360,2182,547,157,37,50,24,30,22,615,29,30,16,5,1,2,4,2,1,2,1,27,1602,615,547,157,68,0.042446941,390,0.243445693,0.734188818,34.14%,9.80%,2.31%,3.12%,1.50%,1.87%,1.37%,38.39%,1.81%,1.87%,1.00%,0.31%,0.06%,0.12%,0.25%,0.12%,0.06%,0.12%,0.06%,1.69%,100.00%,38.39%,34.14%,9.80%,MORENA,PAN,PRI,38.89%,41.32%,9.80%,3.12%,6.80%,99.94%,41.32%,38.89%,9.80%,JUNTOS HAREMOS HISTORIA,POR MÉXICO AL FRENTE,PRI
0106000020E61000000100000001030000000100000017000000518592E87FC958C0FF39968C8B61334098DD31C282C958C0CFF627B456613340D0A6D23785C958C028213B1624613340FFC978657BC958C02A34E7E01C61334045B4116070C958C0640D7B6914613340CAD6977864C958C0675A5CBB0B613340D630CA125BC958C045C666C904613340472FCD6F4AC958C080F76CE5F7603340C989FF443AC958C024816DC5EB603340EAAD32FF30C958C0408C699EE4603340898D578E2EC958C0ED9327E51561334025D92B0423C958C074D4BF410D613340639EE7A621C958C0084905673561334019B9143624C958C0F3D4C0E3466133406C5F27BE2BC958C0A6B1E7A04B613340A61BAC8E36C958C0BB412AE753613340C8B9393C40C958C07C37A0E45A61334094C6F7D549C958C0FDBACC2E6261334077CFE5D155C958C03ABBFDC16A613340D76F04955FC958C068A335A6726133402FA0DFF86AC958C0E0C46BDE7A6133408242424576C958C0E36AA12F84613340518592E87FC958C0FF39968C8B613340,BENITO JUAREZ,4361,2043,569,148,43,38,29,25,15,541,17,36,13,5,0,1,12,1,0,0,1,38,1532,569,541,148,28,0.018276762,393,0.256527415,0.749877631,37.14%,9.66%,2.81%,2.48%,1.89%,1.63%,0.98%,35.31%,1.11%,2.35%,0.85%,0.33%,0.00%,0.07%,0.78%,0.07%,0.00%,0.00%,0.07%,2.48%,100.00%,37.14%,35.31%,9.66%,PAN,MORENA,PRI,42.43%,38.45%,9.66%,2.48%,6.98%,100.00%,42.43%,38.45%,9.66%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E6100000010000000103000000010000000F000000E8C8C7BAC6C958C05A01F274C161334087C2C169C9C958C013B54C6C8C613340D8632E20CCC958C03C6285EC556133401472EAC9C4C958C06A876A5A516133409218DB68BDC958C0D3EA12FD4C613340F470D5ABAFC958C070C3E92243613340660B7DAC9AC958C0FB63749433613340D0A6D23785C958C028213B162461334098DD31C282C958C0CFF627B456613340518592E87FC958C0FF39968C8B6133401D76311195C958C09F83B8A09B6133406F166740AAC958C08E423ED6AB6133404A770E23B7C958C0B9344AB2B561334004BD7749BEC958C0CA37A40ABB613340E8C8C7BAC6C958C05A01F274C1613340,BENITO JUAREZ,4362,1792,512,118,25,46,20,23,12,455,17,28,14,1,0,0,10,1,2,1,1,28,1314,512,455,118,57,0.043378995,337,0.256468798,0.733258929,38.96%,8.98%,1.90%,3.50%,1.52%,1.75%,0.91%,34.63%,1.29%,2.13%,1.07%,0.08%,0.00%,0.00%,0.76%,0.08%,0.15%,0.08%,0.08%,2.13%,100.00%,38.96%,34.63%,8.98%,PAN,MORENA,PRI,43.68%,37.29%,8.98%,3.50%,6.54%,100.00%,43.68%,37.29%,8.98%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000014000000F40DA79DF7C958C0CB95E413726233407BA4E2250ACA58C06CAF338CF26133405D54017719CA58C0643B930488613340D4340D530FCA58C0C06B1E5C816133406D85BED202CA58C06C9BCD2679613340721BE1B2F6C958C0A2C8C13071613340C8B03670ECC958C0D55E01746A6133408F9CB31FE3C958C00A15335664613340FE1D85FCD7C958C0D715F8055D6133402B7A895DCEC958C0FDEB816D57613340D8632E20CCC958C03C6285EC5561334087C2C169C9C958C013B54C6C8C613340E8C8C7BAC6C958C05A01F274C161334017D69D45C9C958C0DAB2E059C361334042D078AAD2C958C055B6C959CA6133400B9EE0DFDDC958C07C22C7B3D26133401A6FAB75E6C958C053785119D96133400D460592F0C958C0DD9BD2A1E061334022243537FCC958C08586F84EE9613340F40DA79DF7C958C0CB95E41372623340,BENITO JUAREZ,4363,1283,465,97,27,30,7,19,8,236,5,22,2,0,0,2,4,2,2,0,2,20,950,465,236,97,229,0.241052632,139,0.146315789,0.740452065,48.95%,10.21%,2.84%,3.16%,0.74%,2.00%,0.84%,24.84%,0.53%,2.32%,0.21%,0.00%,0.00%,0.21%,0.42%,0.21%,0.21%,0.00%,0.21%,2.11%,100.00%,48.95%,24.84%,10.21%,PAN,MORENA,PRI,54.63%,26.00%,10.21%,3.16%,6.00%,100.00%,54.63%,26.00%,10.21%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E61000000100000001030000000100000021000000900EA2DE72CA58C01557E241516233408C6CC1B679CA58C02E85F321DC613340C19668D77CCA58C0E6117240A96133400A2395F164CA58C00EAD1D2093613340010BF8A44CCA58C062E387337E613340DBC9DB9B4FCA58C016746E6C4D613340B882C1C052CA58C046C42CB0196133402F18965747CA58C018D7F878106133402949930D44CA58C01790EFD00D6133409E8FEEC23CCA58C0B78A5BED07613340C3AB537C3BCA58C02D6A93E5066133409D893F973ACA58C088888F2C06613340B8F25F3E3BCA58C08AA56434FC60334065752E4B3DCA58C04F4B1CE6DC6033405AC101423BCA58C01F43377BE16033407E6201233ACA58C0F375CE75E6603340ABD29B7A39CA58C0BA24110EEC603340F1D48B8236CA58C0A7D5A94E05613340452857B932CA58C0A4A6FB4F2D6133407A6D970932CA58C08668424532613340A5B8048732CA58C070AA7F083F61334007A629FF36CA58C0557F27AF796133402AC156E239CA58C096EA4052A5613340DA7EBC7B3BCA58C052DD6F7DBD613340A57BFA893CCA58C095022D65CC6133403D83363F43CA58C016D738CB26623340BB6AFC3846CA58C00E5E60022A6233408C4498C24DCA58C0C09FB2A230623340CF959FAC4ECA58C0FD5A6E7031623340327120804FCA58C02BC05C2A32623340782934DE5ACA58C007C791283C6233400F946E9F66CA58C0F5ACE27D46623340900EA2DE72CA58C01557E24151623340,BENITO JUAREZ,4364,1232,458,118,15,26,4,10,6,232,5,17,2,1,0,0,5,2,0,0,0,16,917,458,232,118,226,0.246455834,114,0.12431843,0.744318182,49.95%,12.87%,1.64%,2.84%,0.44%,1.09%,0.65%,25.30%,0.55%,1.85%,0.22%,0.11%,0.00%,0.00%,0.55%,0.22%,0.00%,0.00%,0.00%,1.74%,100.00%,49.95%,25.30%,12.87%,PAN,MORENA,PRI,53.44%,26.06%,12.87%,2.84%,4.80%,100.00%,53.44%,26.06%,12.87%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
0106000020E610000001000000010300000001000000150000007B9E5CCAA2CA58C0FD2A60247C6233405E14D964AACA58C048CB39EE05623340A50FB8D1B6CA58C0F779429910623340AF8B4AF8B7CA58C070D06EF3FE613340729DA986B6CA58C0DA6FCD8FFB613340674794ACBCCA58C009C1B4AD8E61334020F4D07DBECA58C046E6F61E8B613340F34664D8BFCA58C035877D0C7961334095CEE475B3CA58C0549732116E6133402B8ABD7BA7CA58C03493597263613340668CB8639BCA58C054F101B95861334059642C908FCA58C0183AFB3A4E6133406543224383CA58C022923A5143613340037FD20080CA58C06976630377613340C19668D77CCA58C0E6117240A96133408C6CC1B679CA58C02E85F321DC613340900EA2DE72CA58C01557E24151623340EA43662C7FCA58C0CBFFA0125C623340EF6D4DF38ACA58C059191C70666233409F84DA8696CA58C099B4F710716233407B9E5CCAA2CA58C0FD2A60247C623340,BENITO JUAREZ,4365,1846,674,163,22,40,13,15,16,271,16,28,7,2,0,1,5,1,0,0,2,31,1307,674,271,163,403,0.308339709,108,0.082631982,0.708017335,51.57%,12.47%,1.68%,3.06%,0.99%,1.15%,1.22%,20.73%,1.22%,2.14%,0.54%,0.15%,0.00%,0.08%,0.38%,0.08%,0.00%,0.00%,0.15%,2.37%,100.00%,51.57%,20.73%,12.47%,PAN,MORENA,PRI,54.86%,22.49%,12.47%,3.06%,7.12%,100.00%,54.86%,22.49%,12.47%,POR MÉXICO AL FRENTE,JUNTOS HAREMOS HISTORIA,PRI
