dem,eleccion,sec,id_cas,ln,pe,pan,pri,prd,pvem,pt,mc,na,morena,ph,eas,pri_pvem,prd_pt,cnr,nulos,totales,max,2max,3max,marg_1_2,marg_p_1_2,mar_2_3,marg_p_2_3,part_p,pan_p,pri_p,prd_p,pvem_p,pt_p,mc_p,na_p,morena_p,ph_p,es_p,pri_pvem_p,prd_pt_p,cnr_p,nulos_p,totales_p,max_p,max2_p,max3_p,1er,2ndo,3er,coal_pan_p,coal_pri_pvem_p,coal_prd_pt_,coal_morena_p,coal_mc_p,coal_otros_,coal_totales_p,max_coal,max2_coal,max3_coal,1er_coal,2ndo_coal,3er_coal%
BENITO JUAREZ,2015,4273,4273-C1,733,760,109,37,17,13,4,18,4,50,12,17,2,0,0,28,311,109,50,37,59,0.1897106109,13,0.0418006431,0.4242837653,35.05%,11.90%,5.47%,4.18%,1.29%,5.79%,1.29%,16.08%,3.86%,5.47%,0.64%,0.00%,0.00%,9.00%,100.00%,35.05%,16.08%,11.90%,PAN,MORENA,PRI,35.05%,16.72%,6.75%,16.08%,5.79%,19.61%,100.00%,35.05%,16.72%,16.08%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4274,4274-B,626,646,108,26,26,6,3,13,5,53,12,12,0,0,0,18,282,108,53,26,55,0.1950354610,27,0.0957446809,0.4504792332,38.30%,9.22%,9.22%,2.13%,1.06%,4.61%,1.77%,18.79%,4.26%,4.26%,0.00%,0.00%,0.00%,6.38%,100.00%,38.30%,18.79%,9.22%,PAN,MORENA,PRI,38.30%,11.35%,10.28%,18.79%,4.61%,16.67%,100.00%,38.30%,18.79%,11.35%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4274,4274-C1,625,645,121,30,23,10,4,18,5,45,7,14,0,0,5,16,298,121,45,30,76,0.2550335570,15,0.0503355705,0.4768000000,40.60%,10.07%,7.72%,3.36%,1.34%,6.04%,1.68%,15.10%,2.35%,4.70%,0.00%,0.00%,1.68%,5.37%,100.00%,40.60%,15.10%,10.07%,PAN,MORENA,PRI,40.60%,13.42%,9.06%,15.10%,6.04%,15.77%,100.00%,40.60%,15.10%,13.42%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4275,4275-B,523,549,91,26,10,5,1,3,2,43,8,15,0,0,0,14,218,91,43,26,48,0.2201834862,17,0.0779816514,0.4168260038,41.74%,11.93%,4.59%,2.29%,0.46%,1.38%,0.92%,19.72%,3.67%,6.88%,0.00%,0.00%,0.00%,6.42%,100.00%,41.74%,19.72%,11.93%,PAN,MORENA,PRI,41.74%,14.22%,5.05%,19.72%,1.38%,17.89%,100.00%,41.74%,19.72%,14.22%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4275,4275-C1,522,548,104,25,19,6,4,7,4,34,6,13,0,0,4,26,252,104,34,25,70,0.2777777778,9,0.0357142857,0.4827586207,41.27%,9.92%,7.54%,2.38%,1.59%,2.78%,1.59%,13.49%,2.38%,5.16%,0.00%,0.00%,1.59%,10.32%,100.00%,41.27%,13.49%,9.92%,PAN,MORENA,PRI,41.27%,12.30%,9.13%,13.49%,2.78%,21.03%,100.00%,41.27%,13.49%,12.30%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4276,4276-B,603,632,122,22,11,5,2,12,5,31,5,11,1,0,0,22,249,122,31,22,91,0.3654618474,9,0.0361445783,0.4129353234,49.00%,8.84%,4.42%,2.01%,0.80%,4.82%,2.01%,12.45%,2.01%,4.42%,0.40%,0.00%,0.00%,8.84%,100.00%,49.00%,12.45%,8.84%,PAN,MORENA,PRI,49.00%,11.24%,5.22%,12.45%,4.82%,17.27%,100.00%,49.00%,12.45%,11.24%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4276,4276-C1,603,632,131,28,24,10,2,10,5,39,5,6,0,0,0,28,288,131,39,28,92,0.3194444444,11,0.0381944444,0.4776119403,45.49%,9.72%,8.33%,3.47%,0.69%,3.47%,1.74%,13.54%,1.74%,2.08%,0.00%,0.00%,0.00%,9.72%,100.00%,45.49%,13.54%,9.72%,PAN,MORENA,PRI,45.49%,13.19%,9.03%,13.54%,3.47%,15.28%,100.00%,45.49%,13.54%,13.19%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4277,4277-B,743,770,161,43,13,20,4,22,7,41,5,13,1,0,0,27,357,161,43,41,118,0.3305322129,2,0.0056022409,0.4804845222,45.10%,12.04%,3.64%,5.60%,1.12%,6.16%,1.96%,11.48%,1.40%,3.64%,0.28%,0.00%,0.00%,7.56%,100.00%,45.10%,12.04%,11.48%,PAN,PRI,MORENA,45.10%,17.93%,4.76%,11.48%,6.16%,14.57%,100.00%,45.10%,17.93%,11.48%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4277,4277-C1,743,770,143,41,8,13,5,17,4,58,9,13,0,0,1,27,339,143,58,41,85,0.2507374631,17,0.0501474926,0.4562584118,42.18%,12.09%,2.36%,3.83%,1.47%,5.01%,1.18%,17.11%,2.65%,3.83%,0.00%,0.00%,0.29%,7.96%,100.00%,42.18%,17.11%,12.09%,PAN,MORENA,PRI,42.18%,15.93%,3.83%,17.11%,5.01%,15.93%,100.00%,42.18%,17.11%,15.93%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4278,4278-B,699,735,106,25,37,17,1,15,10,61,7,17,0,0,3,31,330,106,61,37,45,0.1363636364,24,0.0727272727,0.4721030043,32.12%,7.58%,11.21%,5.15%,0.30%,4.55%,3.03%,18.48%,2.12%,5.15%,0.00%,0.00%,0.91%,9.39%,100.00%,32.12%,18.48%,11.21%,PAN,MORENA,PRD,32.12%,12.73%,11.52%,18.48%,4.55%,20.61%,100.00%,32.12%,18.48%,12.73%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4278,4278-C1,698,735,81,23,21,16,3,13,3,81,7,10,2,0,0,38,298,81,81,23,0,0.0000000000,58,0.1946308725,0.4269340974,27.18%,7.72%,7.05%,5.37%,1.01%,4.36%,1.01%,27.18%,2.35%,3.36%,0.67%,0.00%,0.00%,12.75%,100.00%,27.18%,27.18%,7.72%,PAN,PAN,PRI,27.18%,13.76%,8.05%,27.18%,4.36%,19.46%,100.00%,27.18%,27.18%,13.76%,PAN,PAN,PRI_PVEM
BENITO JUAREZ,2015,4279,4279-B,611,640,99,25,25,12,6,4,3,55,2,15,1,0,0,25,272,99,55,25,44,0.1617647059,30,0.1102941176,0.4451718494,36.40%,9.19%,9.19%,4.41%,2.21%,1.47%,1.10%,20.22%,0.74%,5.51%,0.37%,0.00%,0.00%,9.19%,100.00%,36.40%,20.22%,9.19%,PAN,MORENA,PRI,36.40%,13.97%,11.40%,20.22%,1.47%,16.54%,100.00%,36.40%,20.22%,13.97%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4279,4279-C1,610,639,88,34,22,10,7,10,2,63,8,15,1,0,5,29,294,88,63,34,25,0.0850340136,29,0.0986394558,0.4819672131,29.93%,11.56%,7.48%,3.40%,2.38%,3.40%,0.68%,21.43%,2.72%,5.10%,0.34%,0.00%,1.70%,9.86%,100.00%,29.93%,21.43%,11.56%,PAN,MORENA,PRI,29.93%,15.31%,9.86%,21.43%,3.40%,20.07%,100.00%,29.93%,21.43%,15.31%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4280,4280-B,626,654,103,25,39,9,2,9,3,57,9,10,0,2,1,20,289,103,57,39,46,0.1591695502,18,0.0622837370,0.4616613419,35.64%,8.65%,13.49%,3.11%,0.69%,3.11%,1.04%,19.72%,3.11%,3.46%,0.00%,0.69%,0.35%,6.92%,100.00%,35.64%,19.72%,13.49%,PAN,MORENA,PRD,35.64%,11.76%,14.88%,19.72%,3.11%,14.88%,100.00%,35.64%,19.72%,14.88%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4280,4280-C1,625,654,87,24,39,11,6,9,4,67,6,10,2,0,2,20,287,87,67,39,20,0.0696864111,28,0.0975609756,0.4592000000,30.31%,8.36%,13.59%,3.83%,2.09%,3.14%,1.39%,23.34%,2.09%,3.48%,0.70%,0.00%,0.70%,6.97%,100.00%,30.31%,23.34%,13.59%,PAN,MORENA,PRD,30.31%,12.89%,15.68%,23.34%,3.14%,14.63%,100.00%,30.31%,23.34%,15.68%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4281,4281-B,723,753,90,32,45,18,2,17,4,65,13,12,1,2,1,37,339,90,65,45,25,0.0737463127,20,0.0589970501,0.4688796680,26.55%,9.44%,13.27%,5.31%,0.59%,5.01%,1.18%,19.17%,3.83%,3.54%,0.29%,0.59%,0.29%,10.91%,100.00%,26.55%,19.17%,13.27%,PAN,MORENA,PRD,26.55%,15.04%,14.45%,19.17%,5.01%,19.76%,100.00%,26.55%,19.17%,15.04%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4281,4281-C1,723,752,107,35,50,16,5,13,6,52,8,16,0,1,1,38,348,107,52,50,55,0.1580459770,2,0.0057471264,0.4813278008,30.75%,10.06%,14.37%,4.60%,1.44%,3.74%,1.72%,14.94%,2.30%,4.60%,0.00%,0.29%,0.29%,10.92%,100.00%,30.75%,14.94%,14.37%,PAN,MORENA,PRD,30.75%,14.66%,16.09%,14.94%,3.74%,19.83%,100.00%,30.75%,16.09%,14.94%,PAN,PRD_PT,MORENA
BENITO JUAREZ,2015,4282,4282-B,637,666,102,30,31,20,2,9,11,65,7,10,2,0,2,29,320,102,65,31,37,0.1156250000,34,0.1062500000,0.5023547881,31.88%,9.38%,9.69%,6.25%,0.63%,2.81%,3.44%,20.31%,2.19%,3.13%,0.63%,0.00%,0.63%,9.06%,100.00%,31.88%,20.31%,9.69%,PAN,MORENA,PRD,31.88%,16.25%,10.31%,20.31%,2.81%,18.44%,100.00%,31.88%,20.31%,16.25%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4282,4282-C1,636,665,88,25,18,14,3,8,3,38,4,9,0,0,2,19,231,88,38,25,50,0.2164502165,13,0.0562770563,0.3632075472,38.10%,10.82%,7.79%,6.06%,1.30%,3.46%,1.30%,16.45%,1.73%,3.90%,0.00%,0.00%,0.87%,8.23%,100.00%,38.10%,16.45%,10.82%,PAN,MORENA,PRI,38.10%,16.88%,9.09%,16.45%,3.46%,16.02%,100.00%,38.10%,16.88%,16.45%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4283,4283-B,685,719,126,35,22,29,5,16,13,61,8,10,4,0,1,9,339,126,61,35,65,0.1917404130,26,0.0766961652,0.4948905109,37.17%,10.32%,6.49%,8.55%,1.47%,4.72%,3.83%,17.99%,2.36%,2.95%,1.18%,0.00%,0.29%,2.65%,100.00%,37.17%,17.99%,10.32%,PAN,MORENA,PRI,37.17%,20.06%,7.96%,17.99%,4.72%,12.09%,100.00%,37.17%,20.06%,17.99%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4283,4283-C1,684,718,127,32,29,30,7,11,11,55,7,16,1,0,0,24,350,127,55,32,72,0.2057142857,23,0.0657142857,0.5116959064,36.29%,9.14%,8.29%,8.57%,2.00%,3.14%,3.14%,15.71%,2.00%,4.57%,0.29%,0.00%,0.00%,6.86%,100.00%,36.29%,15.71%,9.14%,PAN,MORENA,PRI,36.29%,18.00%,10.29%,15.71%,3.14%,16.57%,100.00%,36.29%,18.00%,15.71%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4284,4284-B,679,701,94,27,36,9,6,14,5,57,6,14,1,0,2,18,289,94,57,36,37,0.1280276817,21,0.0726643599,0.4256259205,32.53%,9.34%,12.46%,3.11%,2.08%,4.84%,1.73%,19.72%,2.08%,4.84%,0.35%,0.00%,0.69%,6.23%,100.00%,32.53%,19.72%,12.46%,PAN,MORENA,PRD,32.53%,12.80%,14.53%,19.72%,4.84%,15.57%,100.00%,32.53%,19.72%,14.53%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4284,4284-C1,678,701,113,27,16,10,2,20,7,72,10,23,2,0,1,19,322,113,72,27,41,0.1273291925,45,0.1397515528,0.4749262537,35.09%,8.39%,4.97%,3.11%,0.62%,6.21%,2.17%,22.36%,3.11%,7.14%,0.62%,0.00%,0.31%,5.90%,100.00%,35.09%,22.36%,8.39%,PAN,MORENA,PRI,35.09%,12.11%,5.59%,22.36%,6.21%,18.63%,100.00%,35.09%,22.36%,12.11%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4284,4284-C2,678,700,105,20,28,8,5,14,4,63,8,17,2,0,0,16,290,105,63,28,42,0.1448275862,35,0.1206896552,0.4277286136,36.21%,6.90%,9.66%,2.76%,1.72%,4.83%,1.38%,21.72%,2.76%,5.86%,0.69%,0.00%,0.00%,5.52%,100.00%,36.21%,21.72%,9.66%,PAN,MORENA,PRD,36.21%,10.34%,11.38%,21.72%,4.83%,15.52%,100.00%,36.21%,21.72%,11.38%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4285,4285-B,600,617,95,29,21,7,1,9,7,60,5,10,1,0,1,20,266,95,60,29,35,0.1315789474,31,0.1165413534,0.4433333333,35.71%,10.90%,7.89%,2.63%,0.38%,3.38%,2.63%,22.56%,1.88%,3.76%,0.38%,0.00%,0.38%,7.52%,100.00%,35.71%,22.56%,10.90%,PAN,MORENA,PRI,35.71%,13.91%,8.27%,22.56%,3.38%,16.17%,100.00%,35.71%,22.56%,13.91%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4285,4285-C1,600,617,104,28,19,14,0,13,5,32,6,16,0,1,1,19,258,104,32,28,72,0.2790697674,4,0.0155038760,0.4300000000,40.31%,10.85%,7.36%,5.43%,0.00%,5.04%,1.94%,12.40%,2.33%,6.20%,0.00%,0.39%,0.39%,7.36%,100.00%,40.31%,12.40%,10.85%,PAN,MORENA,PRI,40.31%,16.28%,7.75%,12.40%,5.04%,18.22%,100.00%,40.31%,16.28%,12.40%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4285,4285-C2,600,616,104,29,13,16,4,8,4,44,7,12,0,0,1,26,268,104,44,29,60,0.2238805970,15,0.0559701493,0.4466666667,38.81%,10.82%,4.85%,5.97%,1.49%,2.99%,1.49%,16.42%,2.61%,4.48%,0.00%,0.00%,0.37%,9.70%,100.00%,38.81%,16.42%,10.82%,PAN,MORENA,PRI,38.81%,16.79%,6.34%,16.42%,2.99%,18.66%,100.00%,38.81%,16.79%,16.42%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4286,4286-B,718,745,116,27,32,11,6,16,7,57,15,19,0,1,2,26,335,116,57,32,59,0.1761194030,25,0.0746268657,0.4665738162,34.63%,8.06%,9.55%,3.28%,1.79%,4.78%,2.09%,17.01%,4.48%,5.67%,0.00%,0.30%,0.60%,7.76%,100.00%,34.63%,17.01%,9.55%,PAN,MORENA,PRD,34.63%,11.34%,11.64%,17.01%,4.78%,20.60%,100.00%,34.63%,17.01%,11.64%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4286,4286-C1,718,744,114,31,19,7,3,7,7,77,14,13,2,1,0,28,323,114,77,31,37,0.1145510836,46,0.1424148607,0.4498607242,35.29%,9.60%,5.88%,2.17%,0.93%,2.17%,2.17%,23.84%,4.33%,4.02%,0.62%,0.31%,0.00%,8.67%,100.00%,35.29%,23.84%,9.60%,PAN,MORENA,PRI,35.29%,12.38%,7.12%,23.84%,2.17%,19.20%,100.00%,35.29%,23.84%,12.38%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4287,4287-B,723,753,125,27,25,6,2,12,8,55,7,13,0,0,2,23,305,125,55,27,70,0.2295081967,28,0.0918032787,0.4218533887,40.98%,8.85%,8.20%,1.97%,0.66%,3.93%,2.62%,18.03%,2.30%,4.26%,0.00%,0.00%,0.66%,7.54%,100.00%,40.98%,18.03%,8.85%,PAN,MORENA,PRI,40.98%,10.82%,8.85%,18.03%,3.93%,17.38%,100.00%,40.98%,18.03%,10.82%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4287,4287-C1,722,753,103,30,25,15,5,8,13,65,15,16,0,0,2,18,315,103,65,30,38,0.1206349206,35,0.1111111111,0.4362880886,32.70%,9.52%,7.94%,4.76%,1.59%,2.54%,4.13%,20.63%,4.76%,5.08%,0.00%,0.00%,0.63%,5.71%,100.00%,32.70%,20.63%,9.52%,PAN,MORENA,PRI,32.70%,14.29%,9.52%,20.63%,2.54%,20.32%,100.00%,32.70%,20.63%,14.29%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4288,4288-B,743,766,126,41,35,9,2,9,11,58,20,21,1,0,2,29,364,126,58,41,68,0.1868131868,17,0.0467032967,0.4899057873,34.62%,11.26%,9.62%,2.47%,0.55%,2.47%,3.02%,15.93%,5.49%,5.77%,0.27%,0.00%,0.55%,7.97%,100.00%,34.62%,15.93%,11.26%,PAN,MORENA,PRI,34.62%,14.01%,10.16%,15.93%,2.47%,22.80%,100.00%,34.62%,15.93%,14.01%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4288,4288-C1,742,766,123,32,26,12,7,22,6,57,25,15,2,0,1,31,359,123,57,32,66,0.1838440111,25,0.0696378830,0.4838274933,34.26%,8.91%,7.24%,3.34%,1.95%,6.13%,1.67%,15.88%,6.96%,4.18%,0.56%,0.00%,0.28%,8.64%,100.00%,34.26%,15.88%,8.91%,PAN,MORENA,PRI,34.26%,12.81%,9.19%,15.88%,6.13%,21.73%,100.00%,34.26%,15.88%,12.81%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4289,4289-B,588,610,101,30,25,8,3,18,3,58,10,14,0,0,0,34,304,101,58,30,43,0.1414473684,28,0.0921052632,0.5170068027,33.22%,9.87%,8.22%,2.63%,0.99%,5.92%,0.99%,19.08%,3.29%,4.61%,0.00%,0.00%,0.00%,11.18%,100.00%,33.22%,19.08%,9.87%,PAN,MORENA,PRI,33.22%,12.50%,9.21%,19.08%,5.92%,20.07%,100.00%,33.22%,19.08%,12.50%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4289,4289-C1,588,609,91,22,39,10,6,12,4,52,6,11,2,1,1,25,282,91,52,39,39,0.1382978723,13,0.0460992908,0.4795918367,32.27%,7.80%,13.83%,3.55%,2.13%,4.26%,1.42%,18.44%,2.13%,3.90%,0.71%,0.35%,0.35%,8.87%,100.00%,32.27%,18.44%,13.83%,PAN,MORENA,PRD,32.27%,12.06%,16.31%,18.44%,4.26%,16.67%,100.00%,32.27%,18.44%,16.31%,PAN,MORENA,PRD_PT
BENITO JUAREZ,2015,4290,4290-B,508,529,88,18,22,20,1,5,3,37,4,9,0,1,0,21,229,88,37,22,51,0.2227074236,15,0.0655021834,0.4507874016,38.43%,7.86%,9.61%,8.73%,0.44%,2.18%,1.31%,16.16%,1.75%,3.93%,0.00%,0.44%,0.00%,9.17%,100.00%,38.43%,16.16%,9.61%,PAN,MORENA,PRD,38.43%,16.59%,10.48%,16.16%,2.18%,16.16%,100.00%,38.43%,16.59%,16.16%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4290,4290-C1,507,528,92,19,23,11,0,8,3,42,3,11,1,1,1,23,238,92,42,23,50,0.2100840336,19,0.0798319328,0.4694280079,38.66%,7.98%,9.66%,4.62%,0.00%,3.36%,1.26%,17.65%,1.26%,4.62%,0.42%,0.42%,0.42%,9.66%,100.00%,38.66%,17.65%,9.66%,PAN,MORENA,PRD,38.66%,13.03%,10.08%,17.65%,3.36%,17.23%,100.00%,38.66%,17.65%,13.03%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4290,4290-C2,507,528,87,33,16,11,2,8,1,41,8,9,3,0,0,19,238,87,41,33,46,0.1932773109,8,0.0336134454,0.4694280079,36.55%,13.87%,6.72%,4.62%,0.84%,3.36%,0.42%,17.23%,3.36%,3.78%,1.26%,0.00%,0.00%,7.98%,100.00%,36.55%,17.23%,13.87%,PAN,MORENA,PRI,36.55%,19.75%,7.56%,17.23%,3.36%,15.55%,100.00%,36.55%,19.75%,17.23%,PAN,PRI_PVEM,MORENA
BENITO JUAREZ,2015,4291,4291-B,587,616,98,18,16,12,2,15,3,45,6,9,0,0,2,21,247,98,45,18,53,0.2145748988,27,0.1093117409,0.4207836457,39.68%,7.29%,6.48%,4.86%,0.81%,6.07%,1.21%,18.22%,2.43%,3.64%,0.00%,0.00%,0.81%,8.50%,100.00%,39.68%,18.22%,7.29%,PAN,MORENA,PRI,39.68%,12.15%,7.29%,18.22%,6.07%,16.60%,100.00%,39.68%,18.22%,12.15%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4291,4291-C1,587,616,106,26,19,9,4,16,5,40,11,10,2,0,1,31,280,106,40,26,66,0.2357142857,14,0.0500000000,0.4770017036,37.86%,9.29%,6.79%,3.21%,1.43%,5.71%,1.79%,14.29%,3.93%,3.57%,0.71%,0.00%,0.36%,11.07%,100.00%,37.86%,14.29%,9.29%,PAN,MORENA,PRI,37.86%,13.21%,8.21%,14.29%,5.71%,20.71%,100.00%,37.86%,14.29%,13.21%,PAN,MORENA,PRI_PVEM
BENITO JUAREZ,2015,4291,4291-C2,586,615,107,23,30,9,5,15,3,48,7,9,0,1,1,25,283,107,48,30,59,0.2084805654,18,0.0636042403,0.4829351536,37.81%,8.13%,10.60%,3.18%,1.77%,5.30%,1.06%,16.96%,2.47%,3.18%,0.00%,0.35%,0.35%,8.83%,100.00%,37.81%,16.96%,10.60%,PAN,MORENA,PRD,37.81%,11.31%,12.72%,16.96%,5.30%,15.90%,100.00%,37.81%,16.96%,12.72%,PAN,MORENA,PRD_PT
